PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC
198611076,1,B1869,EASTERN PETROCHEMICAL COMPANY (SHARQ),,SAUDI ARABIA,SAU,C19
198611077,1,B2796,HONG REALTY (PRIVATE) LTD,,SINGAPORE,SGP,L68
198611078,1,B0473,AUTOPISTA CONCESIONARIA ASTUR-LEONESA SA,,SPAIN,ESP,F43
198611079,1,B0470,AUTOPISTAS DE NAVARRA SA,,SPAIN,ESP,F42
198611080,1,B2529,AYUNTAMIENTO DE MADRID,,SPAIN,ESP,O84
198611081,1,B1506,COMPANIA PAPELERA DE LEIZA SA,,SPAIN,ESP,C17
198611082,1,B1985,EMPRESA NACIONAL DE ELECTRICIDAD SA (SPAIN),,SPAIN,ESP,D35
198611083,1,B1996,EMPRESA NACIONAL HIDROELECTRICA DEL RIBAGORZANA SA,,SPAIN,ESP,D35
198611084,1,B2316,FUERZAS ELECTRICAS DE CATALUNA SA,FECSA,SPAIN,ESP,D35
198611085,1,B2737,FUERZAS HIDROELECTRICAS DE CATALUNA SA,FECSA,SPAIN,ESP,D35
198611086,1,B5716,UNION ELECTRICA FENOSA,,SPAIN,ESP,D35
198611087,1,B5716,UNION-ELECTRICA FENOSA SA,,SPAIN,ESP,D35
198611088,1,B2531,GOVERNMENT OF ST LUCIA,,ST LUCIA,LCA,O84
198611089,1,B1930,ELECTROLUX AB,,SWEDEN,SWE,C27
