OG_INDEX,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,CLUSTER
1134,197501259,1,B4038,NORSEA GAS,NORSEA GAS,,NORWAY,NOR,D35,,,7405
1135,197501260,1,B2506,SULTANATE OF OMAN,SULTANATE OMAN,,OMAN,OMN,O84,,,2608
1136,197501261,1,B2506,SULTANATE OF OMAN,SULTANATE OMAN,,OMAN,OMN,O84,,,2608
1137,197501262,1,B4237,PAKISTAN INTERNATIONAL AIRLINES,PAKISTAN INTERNATIONAL AIRLINES,,PAKISTAN,PAK,H51,,,5287
1138,197501263,1,B4681,REPUBLIC OF PANAMA,REPUBLIC PANAMA,,PANAMA,PAN,O84,,,559
1139,197501264,1,B2981,INSTITUTO DE RECURSOS HIDRAULICOS Y ELECTRIFICACION,INSTITUTO DE RECURSOS HIDRAULICOS Y ELECTRIFICACION,,PANAMA,PAN,D35,,,10498
1140,197501265,1,B4296,PEARL MARINE EQUIPMENT,PEARL MARINE EQUIPMENT,,PANAMA,PAN,C28,,,3250
1141,197501266,1,B1592,CORPORACION AZUCARERA LA VICTORIA,CORPORACION AZUCARERA LA VICTORIA,,PANAMA,PAN,C10,,,2967
1142,197501267,1,B0605,BANCO HIPOTECARIO NACIONAL,BANCO HIPOTECARIO NACIONAL,,PANAMA,PAN,K64,,,10196
1143,197501268,1,B0568,BANCO DE LA NACION PERU,BANCO DE LA NACION PERU,,PERU,PER,K64,,,10263
1144,197501269,1,B4362,PETROLEOS DEL PERU,PETROLEOS DEL PERU,,PERU,PER,D35,,,10114
1145,197501270,1,B2511,REPUBLIC OF PERU,REPUBLIC PERU,,PERU,PER,O84,,,557
1146,197501271,1,B2511,REPUBLIC OF PERU,REPUBLIC PERU,,PERU,PER,O84,,,557
1147,197501272,1,B4362,PETROLEOS DEL PERU,PETROLEOS DEL PERU,,PERU,PER,D35,,,10114
1148,197501273,1,B1598,CORPORACION FINANCIERA DE DESARROLLO,CORPORACION FINANCIERA DE DESARROLLO,COFIDE,PERU,PER,K64,,,9683
1149,197501274,1,B0568,BANCO DE LA NACION PERU,BANCO DE LA NACION PERU,,PERU,PER,K64,,,10263
1150,197501275,1,B2511,REPUBLIC OF PERU,REPUBLIC PERU,,PERU,PER,O84,,,557
1151,197501276,1,B2511,REPUBLIC OF PERU,REPUBLIC PERU,,PERU,PER,O84,,,557
1152,197501277,1,B2512,REPUBLIC OF THE PHILIPPINES,REPUBLIC PHILIPPINES,,PHILIPPINES,PHL,O84,,,577
1153,197501278,1,B2512,REPUBLIC OF THE PHILIPPINES,REPUBLIC PHILIPPINES,,PHILIPPINES,PHL,O84,,,577
1154,197501279,1,B0422,ATLAS CONSOLIDATED MINING AND DEVELOPMENT CORPORATION,ATLAS CONSOLIDATED MINING DEVELOPMENT CORPORATION,,PHILIPPINES,PHL,B07,,,5719
1155,197501280,1,B4387,PHILIPPINE NATIONAL BANK,PHILIPPINE NATIONAL BANK,,PHILIPPINES,PHL,K64,,,2
1156,197501281,1,B3893,NATIONAL INVESTMENT AND DEVELOPMENT CORP,NATIONAL INVESTMENT DEVELOPMENT CORP,,PHILIPPINES,PHL,O84,,,8252
1157,197501282,1,B4388,PHILIPPINE NATIONAL OIL,PHILIPPINE NATIONAL OIL,,PHILIPPINES,PHL,D35,,,158
1158,197501283,1,B4389,PHILIPPINE PETROLEUM,PHILIPPINE PETROLEUM,,PHILIPPINES,PHL,D35,,,5700
1159,197501284,1,B4828,SAN MIGUEL,SAN MIGUEL,,PHILIPPINES,PHL,C11,,,3066
1160,197501285,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
1161,197501286,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
1162,197501287,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
1163,197501288,1,B0683,BANK HANDLOWY W WARSZAWIE,BANK HANDLOWY W WARSZAWIE,,POLAND,POL,K64,,,234
